time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
0,50059,0,739,0,0,7516,10212,0,0,0
0.5,48869,1237,627,40,80,6256,10212,0,0,1
1.1,48690,1308,522,34,162,6144,10212,0,3,7
1.5,48642,1325,491,21,201,6155,10212,0,8,4
2,48748,1268,454,29,238,6198,10212,0,10,3
2.5,48662,1350,416,24,267,6138,10212,0,13,1
3,48700,1219,393,25,278,6253,10212,0,12,4
3.5,48613,1285,375,19,297,6190,10212,0,14,3
4,48697,1291,370,18,309,6197,10212,0,14,2
4.5,48651,1304,348,20,328,6174,10212,0,14,2
5.1,48657,1243,339,26,335,6235,10212,0,15,2
5.6,48555,1287,351,16,331,6168,10212,0,14,3
6.1,48681,1250,347,19,333,6216,10212,0,14,2
6.6,48684,1223,318,19,346,6257,10212,0,13,5
7.1,48558,1336,311,22,355,6137,10212,0,12,6
7.6,48548,1301,294,15,373,6182,10212,0,13,4
8.1,48533,1247,283,29,378,6228,10212,0,14,8
8.6,48641,1186,291,20,360,6289,10212,0,13,13
9.1,48608,1266,306,21,352,6222,10212,0,18,6
9.6,48693,1243,298,18,363,6250,10212,0,18,5
10.1,48778,1248,296,21,365,6247,10212,0,16,5
10.6,48667,1252,295,18,361,6237,10212,0,18,5
11.1,48600,1242,295,19,362,6230,10212,0,19,3
11.6,48624,1221,302,17,364,6254,10212,0,15,4
12.1,48520,1226,297,18,354,6262,10212,0,18,1
12.6,48451,1305,296,19,363,6203,10212,0,16,6
13.1,48538,1321,287,18,365,6200,10212,0,17,3
13.6,48452,1286,285,13,369,6216,10212,0,18,3
14.1,48497,1279,273,19,378,6216,10212,0,17,4
14.6,48556,1172,277,17,378,6324,10212,0,19,2
15.1,48533,1229,283,13,368,6254,10212,0,18,6
15.6,48504,1258,273,17,378,6209,10212,0,19,5
16.1,48368,1248,283,17,360,6240,10212,0,21,5
16.6,48325,1266,289,18,353,6214,10212,0,23,4
17.1,48286,1261,291,16,356,6218,10212,0,23,4
17.6,48254,1230,301,12,344,6227,10212,0,20,8
18.1,48191,1276,293,19,340,6212,10212,0,21,7
18.6,48118,1289,293,13,347,6223,10212,0,21,6
19,48139,1258,290,18,338,6230,10212,0,24,2
19.5,48185,1270,287,19,342,6218,10212,0,22,4
20,48293,1276,287,16,346,6230,10212,0,20,5
20.5,48238,1237,292,14,351,6232,10212,0,19,7
21,48222,1218,290,20,350,6234,10212,0,19,9
21.5,48082,1275,287,16,349,6171,10212,0,22,5
22,48167,1221,280,16,355,6243,10212,0,21,7
22.5,48022,1323,281,17,357,6154,10212,0,22,5
23,48041,1279,283,23,347,6197,10212,0,21,6
23.5,48047,1255,284,15,357,6223,10212,0,20,8
24,47948,1272,286,22,346,6208,10212,0,21,7
24.5,47922,1271,291,16,352,6208,10212,0,20,7
25,47973,1271,299,9,350,6200,10212,0,23,4
25.5,47856,1293,288,20,345,6160,10212,0,26,1
26,47934,1226,292,14,351,6239,10212,0,24,3
26.5,47822,1233,291,13,357,6211,10212,0,23,6
27,47879,1230,274,18,357,6199,10212,0,22,7
27.5,47869,1253,270,16,363,6203,10212,0,24,4
28,47790,1299,295,7,351,6181,10212,0,21,7
28.5,47888,1228,284,20,350,6249,10212,0,23,5
29,47844,1265,298,18,345,6197,10212,0,21,7
29.5,47939,1219,278,24,350,6251,10212,0,19,8
30,47877,1291,281,15,359,6189,10212,0,21,5
30.5,47784,1312,244,21,381,6173,10212,0,18,9
31,47779,1253,253,16,362,6224,10212,0,18,10
31.5,47727,1305,262,10,365,6185,10212,0,20,8
32,47754,1264,259,16,367,6199,10212,0,20,8
32.5,47664,1295,259,12,363,6194,10212,0,19,8
33,47709,1309,257,12,353,6162,10212,0,18,8
33.5,47812,1251,243,8,367,6242,10212,0,20,6
34,47784,1271,237,12,379,6200,10212,0,18,7
34.5,47816,1273,236,15,371,6211,10212,0,19,5
35,47774,1277,245,14,372,6220,10212,0,18,6
35.5,47888,1247,257,15,359,6246,10212,0,20,4
36,47783,1244,258,11,359,6244,10212,0,19,5
36.5,47760,1243,267,20,351,6245,10212,0,22,2
37,47818,1272,251,19,365,6208,10212,0,21,2
37.5,47785,1224,273,15,350,6285,10212,0,21,2
38,47719,1233,278,16,344,6257,10212,0,18,5
38.5,47758,1260,258,27,353,6230,10212,0,18,4
39,47722,1238,270,17,357,6247,10212,0,20,4
39.5,47684,1235,262,15,360,6251,10212,0,20,4
40,47663,1261,259,13,374,6227,10212,0,16,8
40.5,47577,1271,251,15,364,6203,10212,0,17,6
41,47602,1237,253,15,371,6256,10212,0,20,2
41.5,47652,1199,263,10,368,6286,10212,0,19,3
42,47621,1273,244,15,373,6220,10212,0,22,0
42.5,47612,1238,256,17,359,6225,10212,0,20,2
43,47586,1267,265,17,343,6211,10212,0,22,0
43.5,47599,1273,277,10,357,6224,10212,0,19,3
44,47751,1169,266,15,361,6317,10212,0,20,2
44.5,47605,1302,277,13,333,6168,10212,0,20,2
45,47544,1281,275,16,339,6195,10212,0,20,1
45.5,47635,1264,264,21,345,6204,10212,0,19,2
