time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1336,22,40,3,66,1019,1908,525,0,0
50.5,1360,30,39,0,70,1011,1896,530,0,0
51,1336,25,52,2,65,1017,1898,534,0,0
51.5,1316,27,47,1,75,1009,1896,535,0,0
52,1289,25,51,2,65,1054,1929,495,0,0
52.5,1311,24,48,4,73,993,1873,553,0,0
53,1302,26,55,2,73,977,1859,560,0,0
53.5,1318,38,51,2,77,990,1871,541,0,0
54,1342,23,47,2,76,1023,1884,537,0,0
54.5,1343,31,49,1,74,1033,1881,528,0,0
55,1336,19,51,2,78,1045,1894,526,0,0
55.5,1329,36,50,3,66,1040,1904,518,0,0
56,1366,34,41,8,77,1023,1886,533,0,0
56.5,1355,35,48,4,73,1022,1877,541,0,0
57,1377,25,42,4,82,1060,1893,527,0,0
57.5,1377,24,41,4,83,1034,1866,554,0,0
58,1369,27,53,2,80,1041,1879,543,0,0
58.5,1383,24,45,2,87,1029,1863,560,0,0
59,1347,36,48,2,88,994,1855,564,0,0
59.5,1376,23,48,1,84,1044,1864,562,0,0
60,1358,29,48,2,72,1026,1882,542,0,0
60.5,1320,28,45,3,85,1015,1870,554,0,0
61,1344,27,40,2,86,1033,1886,539,0,0
61.5,1376,29,42,2,91,1040,1882,545,0,0
62,1384,32,44,2,87,1058,1918,495,0,0
62.5,1389,34,45,2,91,1052,1912,505,0,0
63,1404,29,50,1,81,1064,1944,480,0,1
63.5,1399,24,42,1,77,1032,1933,491,1,0
64,1401,23,51,0,85,989,1890,533,1,0
64.5,1401,35,62,3,74,1018,1937,492,1,0
65,1381,30,47,8,77,1006,1916,511,1,0
65.5,1399,30,50,4,79,1035,1937,484,1,1
66,1447,36,47,2,83,993,1902,517,1,1
66.5,1448,27,45,4,81,1022,1880,535,1,1
67,1437,28,41,5,76,1023,1888,525,2,0
67.5,1428,38,49,2,77,1000,1873,543,1,0
68,1425,31,52,3,75,1030,1883,519,2,0
68.5,1395,25,49,2,71,1028,1876,515,1,1
69,1387,34,50,5,74,1073,1924,463,1,1
69.5,1411,26,50,2,70,1065,1905,486,2,0
70,1431,27,44,1,77,1039,1888,506,2,0
70.5,1420,32,37,4,76,1021,1882,515,2,0
71,1417,27,46,3,78,1022,1869,532,1,1
71.5,1406,39,52,3,66,996,1846,548,1,1
72,1410,41,47,5,72,1006,1869,530,1,1
72.5,1385,35,44,1,77,1030,1874,528,1,2
73,1409,29,49,1,78,1016,1870,526,2,1
73.5,1400,24,44,2,80,1032,1865,530,3,0
74,1445,37,46,1,78,1017,1858,533,3,0
74.5,1429,32,50,0,78,1065,1902,489,3,0
75,1439,30,44,4,72,1024,1879,516,3,0
75.6,1445,32,44,1,69,990,1849,533,2,2
76.1,1490,22,45,1,69,1014,1857,531,3,1
76.6,1482,36,41,3,74,1025,1886,508,3,0
77.1,1452,32,47,2,70,1034,1889,500,3,0
77.6,1457,20,49,1,70,1042,1867,520,3,0
78.1,1439,27,41,3,74,1027,1863,525,3,0
78.6,1471,24,46,5,77,1012,1876,510,3,0
79.1,1457,29,41,2,79,1032,1891,497,3,0
79.6,1416,29,48,2,74,994,1858,530,3,0
80.1,1460,26,48,4,73,1024,1875,507,3,0
80.6,1442,39,51,0,73,1014,1852,525,3,0
81.1,1471,38,48,1,75,1082,1919,459,3,0
81.6,1482,36,44,4,78,1054,1893,485,3,0
82.1,1526,21,47,1,78,1042,1860,515,3,0
82.6,1503,29,55,2,69,1035,1880,488,3,0
83.1,1516,26,53,0,68,1051,1879,492,3,0
83.6,1525,30,56,1,65,1025,1850,521,3,0
84.1,1509,33,56,3,62,1017,1860,507,3,0
84.6,1483,45,47,0,73,1025,1867,492,3,0
85.1,1518,35,46,2,72,1044,1873,498,1,2
85.6,1488,36,48,2,77,1045,1890,483,2,1
86.1,1488,35,46,2,72,1053,1891,487,2,1
86.6,1530,30,43,1,74,1042,1873,516,2,1
87.1,1540,29,47,0,71,1062,1915,476,2,0
87.6,1496,36,47,1,68,1043,1885,506,2,0
88.1,1480,36,38,5,73,1022,1873,519,2,0
88.6,1527,37,39,2,77,1039,1884,509,2,0
89.1,1519,36,45,1,73,1003,1868,530,2,0
89.6,1538,32,42,1,82,1024,1867,533,2,0
90.1,1533,39,42,3,81,1032,1909,492,2,0
90.6,1507,32,41,4,83,1048,1887,511,2,0
91.1,1521,28,41,1,86,1038,1890,512,2,0
91.6,1527,45,47,1,84,995,1890,513,2,0
92.1,1533,30,47,1,77,994,1880,523,2,0
92.6,1561,22,48,1,74,1024,1903,498,2,0
93.1,1547,40,51,0,69,1026,1920,475,2,0
93.6,1558,23,41,0,73,996,1875,521,2,0
94.1,1572,29,46,0,67,991,1877,519,2,0
94.6,1570,33,36,2,75,983,1866,529,2,0
95.1,1597,23,37,1,80,1006,1882,511,2,0
95.6,1573,36,35,5,78,1004,1889,499,1,1
96.1,1600,33,43,2,80,1002,1866,527,1,1
96.6,1608,32,40,2,79,999,1878,523,1,1
97.1,1598,34,42,2,80,1035,1901,506,1,1
97.6,1593,32,33,1,86,1045,1895,505,1,1
98.1,1561,43,40,1,85,1022,1879,525,1,1
98.6,1605,29,38,1,83,1040,1869,526,1,1
99.1,1598,36,50,3,79,1027,1863,524,1,0
99.6,1603,35,47,1,85,1039,1866,527,0,1
100.1,1658,42,46,3,75,1015,1871,523,1,0
100.6,1622,28,43,2,80,1049,1872,521,1,0
101.1,1625,38,40,3,77,1019,1852,540,1,0
101.6,1627,33,41,1,77,1028,1867,518,0,1
102.1,1625,27,43,1,72,1067,1893,503,0,1
102.6,1632,27,44,3,68,1044,1878,514,1,0
103.1,1600,37,38,3,73,1001,1857,534,1,0
103.6,1609,30,39,1,75,1034,1872,518,1,0
104.1,1618,31,44,3,71,1012,1878,508,1,0
104.6,1596,21,44,2,74,987,1829,551,1,0
105.1,1628,44,42,1,71,1014,1877,504,1,0
105.6,1624,34,46,2,70,1029,1878,504,1,0
106.1,1637,31,47,2,71,1027,1865,515,1,0
106.6,1622,40,50,4,72,1013,1850,525,1,0
107.1,1626,36,52,2,70,1021,1857,522,1,0
107.6,1628,32,50,1,68,1062,1883,496,1,0
108.1,1635,33,43,2,74,1050,1886,494,1,0
108.6,1640,34,35,2,72,1048,1877,499,1,0
109.1,1648,40,35,2,71,1033,1845,526,1,0
109.6,1655,37,44,1,66,1034,1852,514,1,0
110.1,1676,31,40,3,68,1024,1843,521,1,0
110.6,1658,40,32,3,70,1051,1866,503,1,0
111.1,1659,37,32,4,76,1048,1854,515,1,0
111.6,1643,38,33,3,75,1031,1852,518,1,0
112.1,1646,46,39,1,76,1035,1866,508,0,1
112.6,1657,38,38,2,69,1012,1840,534,0,1
113.1,1671,41,35,2,67,1031,1854,518,0,1
113.6,1668,51,39,2,68,1023,1856,515,0,1
114.1,1664,37,40,0,72,1032,1852,510,1,0
114.6,1653,31,33,4,80,1051,1858,506,1,0
115.1,1662,36,39,0,79,1061,1856,503,1,0
