time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1786,69,51,0,21,1452,0,0,1,1
50.5,1791,51,48,3,23,1487,0,0,1,2
51,1792,62,44,1,27,1446,0,0,1,2
51.5,1764,60,39,3,28,1448,0,0,1,4
52,1809,35,38,4,28,1452,0,0,2,2
52.5,1781,57,37,6,22,1428,0,0,3,2
53,1835,56,32,3,22,1438,0,0,3,2
53.5,1811,43,31,5,24,1448,0,0,3,2
54,1805,63,28,1,28,1436,0,0,3,2
54.5,1827,62,28,2,37,1426,0,0,3,2
55,1824,60,36,5,33,1423,0,0,3,2
55.5,1837,50,43,3,37,1413,0,0,3,2
56,1840,72,45,1,31,1368,0,0,3,1
56.5,1851,53,39,5,38,1427,0,0,3,1
57,1838,59,49,4,33,1407,0,0,2,1
57.5,1854,57,48,2,37,1420,0,0,2,1
58,1786,60,53,2,34,1412,0,0,3,0
58.5,1797,50,51,3,27,1419,0,0,3,0
59,1781,66,50,2,32,1372,0,0,2,1
59.5,1751,73,49,3,27,1360,0,0,3,0
60,1803,47,46,3,34,1403,0,0,3,0
60.5,1800,55,48,0,36,1407,0,0,3,0
61,1816,62,45,1,30,1385,0,0,3,0
61.5,1870,47,40,1,35,1394,0,0,3,0
62,1859,54,32,7,38,1392,0,0,3,0
62.5,1854,60,35,2,30,1402,0,0,2,2
63,1861,55,40,1,34,1403,0,0,2,1
63.5,1880,57,46,2,36,1403,0,0,2,0
64,1878,62,36,6,37,1380,0,0,2,0
64.5,1893,56,54,0,39,1382,0,0,2,0
65,1852,59,47,3,35,1396,0,0,2,0
65.5,1872,61,51,1,30,1383,0,0,2,0
66,1868,47,50,3,27,1403,0,0,2,0
66.5,1804,65,47,2,30,1387,0,0,1,1
67,1832,61,44,4,34,1390,0,0,2,0
67.5,1828,63,44,4,37,1377,0,0,2,0
68,1878,65,43,2,40,1388,0,0,2,2
68.5,1916,57,36,4,38,1387,0,0,3,1
69,1879,71,44,2,26,1382,0,0,3,1
69.5,1908,62,40,2,32,1402,0,0,3,1
70,1916,48,39,5,28,1403,0,0,4,1
70.5,1891,56,42,3,25,1393,0,0,4,1
71,1883,71,50,2,26,1411,0,0,5,0
71.5,1887,48,47,5,28,1398,0,0,5,0
72,1884,72,47,2,29,1381,0,0,5,0
72.5,1925,52,43,6,25,1397,0,0,5,0
73,1937,37,47,4,21,1415,0,0,4,2
73.5,1897,78,48,4,25,1381,0,0,5,1
74,1942,45,39,1,25,1397,0,0,4,2
74.5,1898,65,34,2,36,1367,0,0,5,1
75,1926,52,37,2,29,1375,0,0,4,2
75.6,1950,51,35,2,38,1385,0,0,4,2
76.1,1975,54,41,2,36,1386,0,0,4,1
76.6,1944,67,38,4,36,1344,0,0,3,2
77.1,1943,65,39,5,35,1343,0,0,4,1
77.6,1975,59,40,2,35,1366,0,0,3,2
78.1,1953,67,39,2,32,1333,0,0,3,1
78.6,1966,61,40,3,24,1348,0,0,2,3
79.1,1964,57,45,3,21,1370,0,0,2,3
79.6,1998,50,46,1,24,1364,0,0,2,2
80.1,1950,57,45,1,23,1358,0,0,2,2
80.6,1968,56,36,4,27,1371,0,0,3,2
81.1,1970,57,37,1,30,1364,0,0,2,2
81.6,1987,65,39,3,31,1351,0,0,2,2
82.1,1983,49,39,0,31,1397,0,0,2,2
82.6,1935,64,35,2,35,1363,0,0,2,1
83.1,1941,56,32,3,30,1356,0,0,2,1
83.6,1924,50,32,2,26,1357,0,0,3,1
84.1,1932,49,28,4,27,1362,0,0,3,1
84.6,1914,77,30,1,22,1356,0,0,3,1
85.1,1893,65,29,2,26,1378,0,0,3,1
85.6,1904,59,32,4,22,1381,0,0,3,1
86.1,1953,66,28,6,24,1385,0,0,3,1
86.6,1980,52,30,2,20,1378,0,0,3,2
87.1,1948,64,31,1,22,1377,0,0,3,1
