time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,42,4,50,2,37,1145,1023,287,4,3
50.5,41,2,48,5,35,1153,1014,291,3,3
51,49,0,46,4,32,1159,1004,300,2,4
51.5,50,3,47,2,34,1162,1018,291,3,3
52,45,1,52,7,34,1149,996,311,4,2
52.5,55,0,41,3,36,1145,995,316,4,3
53,45,2,45,1,32,1151,1001,311,4,4
53.5,45,2,52,3,30,1177,1024,295,3,5
54,52,1,47,3,27,1135,996,323,4,4
54.5,54,1,53,2,29,1159,1035,284,3,5
55,49,0,56,0,39,1120,991,327,3,5
55.5,47,1,57,2,35,1119,985,326,3,5
56,52,0,54,3,33,1155,1023,291,3,4
56.5,51,0,61,2,28,1107,984,327,2,5
57,50,1,63,2,32,1121,1022,292,4,3
57.5,59,0,66,3,33,1162,1032,284,4,2
58,54,0,56,4,27,1160,1033,280,4,3
58.5,48,0,66,2,29,1144,1021,292,4,3
59,51,5,64,2,30,1146,1019,291,5,2
59.5,56,2,54,3,26,1148,1011,298,4,3
60,56,1,47,0,27,1134,996,308,5,2
60.5,57,4,48,4,28,1166,1022,289,4,2
61,58,1,52,4,30,1163,1010,298,4,1
61.5,58,1,57,2,28,1127,991,314,4,2
62,50,3,43,3,37,1111,988,322,4,2
62.5,59,2,48,1,33,1120,1001,307,4,2
63,62,0,44,2,34,1103,1010,300,4,2
63.5,66,1,41,4,36,1118,1019,290,3,2
64,63,2,39,0,32,1107,1014,295,4,1
64.5,69,2,38,1,39,1093,1011,296,3,2
65,75,2,37,1,30,1100,1012,294,2,2
65.5,68,2,38,1,33,1098,1007,292,2,2
66,63,0,29,3,27,1079,1003,304,2,2
66.5,62,2,32,3,26,1085,1013,299,3,1
67,66,0,33,1,29,1075,994,324,2,2
67.5,66,2,37,0,28,1108,1012,301,3,2
68,65,0,38,3,31,1123,1036,278,3,1
68.5,61,3,38,2,33,1105,1021,296,3,1
69,59,3,39,2,31,1098,1008,312,3,0
69.5,55,2,48,2,27,1104,1014,313,3,0
70,55,1,54,1,23,1113,1025,303,3,1
70.5,59,1,53,1,30,1110,1012,311,3,0
71,54,0,51,1,33,1095,1015,310,3,0
71.5,56,1,51,1,32,1087,1026,302,2,1
72,63,1,54,2,33,1104,1036,297,1,2
72.5,59,3,50,6,38,1098,1017,318,1,2
73,63,4,53,4,33,1085,1018,318,1,1
73.5,59,2,49,3,42,1119,1023,316,2,1
74,57,0,47,5,34,1122,1041,301,2,1
74.5,53,1,41,3,41,1122,1045,298,2,0
75,54,2,41,2,40,1131,1046,302,2,0
75.6,56,3,40,2,42,1099,1023,323,1,1
76.1,57,0,43,2,29,1082,1009,340,1,1
76.6,51,3,42,2,35,1084,1018,329,1,1
77.1,52,3,39,3,34,1076,1013,339,1,1
77.6,53,2,46,2,31,1101,1017,331,1,1
78.1,63,0,45,1,39,1090,1022,335,1,1
78.6,60,0,45,3,32,1110,1042,307,1,1
79.1,56,0,51,3,26,1118,1033,320,1,1
79.6,55,0,49,3,29,1105,1026,325,1,1
80.1,58,0,47,0,28,1108,1032,315,1,1
80.6,52,1,45,3,33,1120,1041,305,1,1
81.1,57,1,43,1,40,1078,1009,336,1,0
81.6,55,2,49,2,42,1114,1026,317,0,1
82.1,60,2,46,3,39,1095,1026,316,0,1
82.6,59,1,48,1,42,1136,1059,288,0,1
83.1,62,2,53,3,37,1113,1051,302,0,0
83.6,55,3,58,4,25,1116,1044,308,0,0
84.1,59,2,53,4,33,1121,1052,295,0,0
84.6,54,0,52,1,37,1081,1033,313,0,0
85.1,59,1,47,4,40,1083,1035,313,0,0
85.6,58,2,41,4,41,1058,1035,317,0,2
86.1,55,1,46,0,39,1081,1038,315,1,2
86.6,56,3,45,3,30,1055,1033,321,1,2
87.1,57,1,51,2,36,1045,1034,319,1,1
87.6,59,0,55,5,33,1053,1033,318,1,1
88.1,60,0,53,1,38,1086,1059,303,1,2
88.6,59,0,49,3,34,1082,1055,307,1,2
89.1,61,2,53,0,32,1077,1053,309,1,1
89.6,60,3,48,4,34,1046,1029,334,1,1
90.1,52,1,44,5,32,1085,1068,286,1,1
90.6,53,1,43,2,34,1084,1068,288,1,1
91.1,58,2,44,1,36,1086,1049,301,1,1
91.6,60,0,44,2,33,1099,1045,314,1,1
92.1,59,2,44,2,33,1114,1056,299,1,1
92.6,55,3,49,1,35,1113,1060,296,1,1
93.1,55,1,46,3,39,1108,1067,293,1,1
93.6,59,1,50,0,39,1092,1051,309,1,2
94.1,59,4,50,1,39,1030,1038,329,1,2
94.6,64,2,51,1,35,1048,1045,324,1,2
95.1,63,2,54,2,33,1067,1055,308,2,1
95.6,59,2,48,4,38,1062,1044,322,3,0
96.1,55,1,48,4,43,1078,1054,309,3,0
96.6,58,2,53,2,43,1048,1056,309,3,0
97.1,55,2,51,0,43,1053,1060,303,3,0
97.6,62,0,46,2,38,1047,1070,293,3,0
98.1,59,0,50,1,45,1044,1070,296,3,0
98.6,54,4,44,2,42,1065,1073,294,2,1
99.1,57,2,44,3,36,1046,1063,308,1,2
99.6,58,0,47,2,34,1095,1094,282,1,3
100.1,63,2,52,2,32,1060,1071,307,0,2
100.6,68,3,55,3,34,1063,1065,309,0,2
101.1,72,2,52,0,36,1061,1047,329,0,2
101.6,67,1,50,4,31,1021,1037,341,1,1
102.1,63,0,57,2,33,1073,1076,301,0,2
102.6,64,0,47,4,36,1065,1073,297,0,2
103.1,70,2,52,5,28,1046,1040,336,1,1
103.6,79,1,57,0,32,1069,1064,316,0,1
104.1,64,1,54,0,32,1076,1074,304,1,0
104.6,68,1,50,1,40,1080,1071,304,1,0
105.1,66,2,49,2,36,1067,1072,306,1,0
105.6,66,2,45,2,40,1032,1040,339,1,1
106.1,71,1,48,2,36,1070,1085,289,1,1
106.6,69,1,37,2,35,1070,1085,290,1,1
107.1,72,0,48,2,36,1050,1075,301,2,0
107.6,69,3,47,1,40,1038,1080,297,2,0
108.1,69,4,53,0,37,1012,1053,326,2,0
108.6,61,0,48,1,42,1071,1085,292,1,1
109.1,63,2,45,3,39,1028,1070,307,2,0
109.6,61,2,43,1,37,1047,1081,297,2,0
110.1,67,0,40,2,39,1023,1067,312,2,0
110.6,65,2,31,3,43,1005,1051,329,2,0
111.1,58,3,37,1,36,1024,1063,319,1,1
111.6,65,0,36,3,39,1020,1058,325,2,1
112.1,60,0,37,0,42,1009,1052,325,2,1
112.6,63,1,40,3,37,1035,1071,302,2,1
113.1,54,2,42,0,34,1031,1070,308,1,4
113.6,61,0,46,1,34,1069,1085,287,1,4
114.1,55,2,45,1,28,1051,1078,295,2,2
114.6,55,1,37,6,28,1024,1054,316,2,2
115.1,55,1,47,1,30,1029,1040,328,2,1
115.6,61,1,48,1,28,1023,1046,324,2,1
116.1,57,1,51,2,27,1036,1058,314,2,1
116.6,56,0,46,1,32,1039,1064,310,2,0
117.1,60,3,44,3,37,1065,1074,298,1,0
117.6,60,2,47,1,40,1039,1050,326,1,0
118.1,63,0,40,1,42,1052,1059,321,0,0
118.6,56,1,45,2,37,1043,1062,327,0,0
119.1,58,2,41,4,35,1064,1056,330,0,0
119.6,58,2,38,3,32,1044,1049,338,0,0
120.1,62,4,41,3,37,1077,1069,316,0,0
120.6,57,0,46,1,35,1047,1053,332,0,0
121.1,54,3,49,1,35,1060,1065,318,0,0
121.6,58,0,49,1,38,1035,1052,330,0,0
122.1,59,0,50,4,33,1038,1064,312,0,0
122.6,61,1,54,1,30,1049,1065,311,0,0
123.1,60,2,57,2,26,1049,1071,306,0,0
123.6,60,1,51,1,30,1065,1094,279,1,0
124.1,61,3,52,2,26,1056,1069,309,1,0
124.6,57,1,49,3,26,1064,1068,301,1,0
125.1,60,1,47,3,23,1088,1093,278,1,0
125.6,57,1,40,2,22,1026,1048,326,1,1
126.1,60,1,39,3,25,1036,1063,312,2,0
126.6,62,2,32,1,30,1031,1062,312,2,0
127.1,65,1,39,4,23,1038,1054,316,0,1
127.6,71,3,35,2,29,1048,1095,275,0,1
128.1,67,1,40,1,26,1003,1050,322,0,1
128.6,66,1,43,0,21,1010,1050,327,1,0
129.1,71,2,45,1,25,1003,1060,311,1,0
129.6,67,1,39,5,29,1006,1064,315,1,0
130.1,62,2,36,3,28,1011,1052,332,1,0
130.6,72,1,40,3,30,1053,1104,284,0,1
131.1,64,2,41,3,29,1028,1087,297,0,1
131.6,59,1,48,4,24,1026,1064,316,0,0
