time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1266,55,0,0,0,1190,967,302,2,0
50.5,1258,41,0,0,0,1218,985,283,2,0
51,1263,42,0,0,0,1206,971,297,2,0
51.5,1245,65,0,0,0,1191,968,303,2,0
52,1278,65,0,0,0,1197,991,281,2,0
52.5,1274,51,0,0,0,1207,977,296,2,0
53,1293,49,0,0,0,1213,967,300,2,0
53.5,1280,48,0,0,0,1209,968,300,2,0
54,1304,45,0,0,0,1190,963,304,1,1
54.5,1278,55,0,0,0,1197,961,301,2,0
55,1288,52,0,0,0,1194,951,316,2,0
55.5,1294,47,0,0,0,1166,928,334,2,0
56,1271,55,0,0,0,1170,953,310,2,0
56.5,1267,47,0,0,0,1203,957,307,2,0
57,1276,52,0,0,0,1175,955,310,2,0
57.5,1315,45,0,0,0,1187,954,310,2,0
58,1277,54,0,0,0,1166,951,318,2,0
58.5,1281,42,0,0,0,1185,963,306,2,0
59,1274,46,0,0,0,1162,950,317,2,0
59.5,1216,70,0,0,0,1163,967,305,2,0
60,1261,46,0,0,0,1197,966,306,2,0
60.5,1241,48,0,0,0,1159,963,314,2,0
61,1217,57,0,0,0,1153,951,324,2,0
61.5,1219,51,0,0,0,1171,970,301,2,0
62,1222,49,0,0,0,1180,971,301,2,0
62.5,1239,44,0,0,0,1178,970,292,2,0
63,1243,53,0,0,0,1153,959,306,2,0
63.5,1259,40,0,0,0,1180,963,306,2,0
64,1258,50,0,0,0,1182,975,297,2,0
64.5,1253,43,0,0,0,1166,972,309,2,0
65,1226,50,0,0,0,1192,998,284,2,0
65.5,1258,46,0,0,0,1156,977,308,2,0
66,1279,35,0,0,0,1159,970,315,2,0
66.5,1241,55,0,0,0,1154,970,312,2,0
67,1278,47,0,0,0,1156,977,301,2,0
67.5,1267,38,0,0,0,1151,970,317,2,0
68,1232,49,0,0,0,1158,983,299,2,0
68.5,1228,59,0,0,0,1112,939,336,2,0
69,1285,40,0,0,0,1160,939,340,3,0
69.5,1251,42,0,0,0,1169,948,333,3,0
70,1236,48,0,0,0,1178,968,310,3,0
70.5,1223,57,0,0,0,1166,966,313,3,0
71,1272,41,0,0,0,1187,972,304,3,0
71.5,1237,60,0,0,0,1159,962,312,3,0
72,1242,54,0,0,0,1151,957,317,3,0
72.5,1266,47,0,0,0,1131,948,327,3,0
73,1287,49,0,0,0,1161,980,302,3,0
73.5,1292,43,0,0,0,1152,975,304,3,0
74,1287,51,0,0,0,1138,966,320,3,0
74.5,1300,49,0,0,0,1165,984,303,2,1
75,1303,54,0,0,0,1153,969,323,3,0
75.6,1318,37,0,0,0,1173,978,317,3,0
76.1,1311,47,0,0,0,1165,982,316,3,0
76.6,1288,56,0,0,0,1142,977,316,2,1
77.1,1294,59,0,0,0,1152,983,308,2,0
77.6,1302,47,0,0,0,1171,971,318,2,0
78.1,1278,55,0,0,0,1190,994,298,2,0
78.6,1289,50,0,0,0,1149,946,342,2,0
79.1,1287,49,0,0,0,1156,967,321,2,0
79.6,1311,45,0,0,0,1200,993,295,2,0
80.1,1292,36,0,0,0,1189,992,299,2,0
80.6,1288,57,0,0,0,1165,987,303,2,0
81.1,1287,55,0,0,0,1151,973,317,2,0
81.6,1289,47,0,0,0,1151,977,314,2,0
82.1,1299,45,0,0,0,1216,1014,278,2,0
82.6,1289,50,0,0,0,1205,1019,274,2,0
83.1,1305,48,0,0,0,1164,989,306,2,0
83.6,1299,51,0,0,0,1184,1005,289,2,0
84.1,1305,49,0,0,0,1179,988,308,2,0
84.6,1281,50,0,0,0,1201,1017,276,2,0
85.1,1303,46,0,0,0,1185,1000,294,2,0
85.6,1295,51,0,0,0,1179,978,315,2,0
86.1,1305,51,0,0,0,1172,969,321,2,0
86.6,1336,47,0,0,0,1190,985,307,2,0
87.1,1309,41,0,0,0,1185,979,312,2,0
87.6,1301,34,0,0,0,1209,993,299,2,0
88.1,1307,45,0,0,0,1230,998,293,2,0
88.6,1296,52,0,0,0,1199,996,297,2,0
89.1,1277,44,0,0,0,1184,971,323,2,0
89.6,1252,62,0,0,0,1187,968,322,2,0
90.1,1284,48,0,0,0,1188,960,334,2,0
90.6,1314,51,0,0,0,1186,958,339,2,0
91.1,1326,42,0,0,0,1195,947,340,2,0
91.6,1288,61,0,0,0,1189,955,330,2,0
92.1,1339,45,0,0,0,1225,970,314,2,0
92.6,1337,50,0,0,0,1222,984,293,2,0
93.1,1325,60,0,0,0,1178,955,329,2,0
93.6,1324,52,0,0,0,1216,968,315,2,0
94.1,1303,63,0,0,0,1183,954,328,2,0
94.6,1312,50,0,0,0,1223,991,292,2,0
95.1,1292,52,0,0,0,1184,965,313,2,0
95.6,1278,52,0,0,0,1177,941,337,2,0
96.1,1280,51,0,0,0,1189,966,316,2,0
96.6,1281,60,0,0,0,1191,967,312,2,0
97.1,1280,52,0,0,0,1204,963,313,2,0
97.6,1274,62,0,0,0,1187,954,320,2,0
98.1,1265,62,0,0,0,1169,958,320,2,0
98.6,1324,57,0,0,0,1184,945,339,2,0
99.1,1312,56,0,0,0,1163,940,347,1,1
99.6,1328,58,0,0,0,1209,972,322,2,0
100.1,1331,53,0,0,0,1169,944,349,2,0
100.6,1322,52,0,0,0,1181,966,322,2,0
101.1,1324,62,0,0,0,1159,977,318,1,1
101.6,1300,63,0,0,0,1151,974,326,2,0
102.1,1310,56,0,0,0,1187,1010,291,2,0
102.6,1302,53,0,0,0,1160,992,312,2,0
103.1,1313,37,0,0,0,1195,1002,304,2,0
103.6,1335,43,0,0,0,1189,1010,292,2,0
104.1,1309,55,0,0,0,1184,1011,290,2,0
104.6,1288,52,0,0,0,1173,996,309,2,0
105.1,1284,45,0,0,0,1180,993,311,2,0
105.6,1321,49,0,0,0,1177,983,322,2,0
106.1,1317,48,0,0,0,1149,956,344,2,0
106.6,1272,50,0,0,0,1169,964,330,2,0
107.1,1272,51,0,0,0,1154,972,322,2,0
107.6,1309,53,0,0,0,1156,969,326,2,0
108.1,1307,47,0,0,0,1128,941,356,2,0
108.6,1308,50,0,0,0,1156,971,325,2,0
109.1,1295,49,0,0,0,1166,961,337,2,0
109.6,1297,42,0,0,0,1180,979,324,2,0
110.1,1285,48,0,0,0,1152,963,345,2,0
110.6,1288,46,0,0,0,1175,985,327,2,0
111.1,1272,43,0,0,0,1188,981,331,1,1
111.6,1267,47,0,0,0,1169,989,317,2,0
112.1,1293,48,0,0,0,1160,975,330,2,0
112.6,1295,41,0,0,0,1187,999,307,1,1
113.1,1301,48,0,0,0,1177,996,304,2,0
113.6,1275,53,0,0,0,1174,978,322,2,0
114.1,1255,58,0,0,0,1187,988,318,2,0
114.6,1291,34,0,0,0,1193,989,319,2,0
115.1,1282,45,0,0,0,1167,984,319,2,0
115.6,1269,51,0,0,0,1131,975,336,2,0
116.1,1312,49,0,0,0,1179,1009,304,2,0
116.6,1298,50,0,0,0,1166,1006,309,2,0
117.1,1298,41,0,0,0,1132,966,353,2,0
117.6,1286,44,0,0,0,1183,984,338,2,0
118.1,1279,48,0,0,0,1169,1020,299,2,0
118.6,1234,42,0,0,0,1188,1021,302,2,0
119.1,1282,43,0,0,0,1201,1031,282,3,0
119.6,1285,49,0,0,0,1127,976,338,2,0
120.1,1274,40,0,0,0,1135,987,327,2,0
120.6,1262,60,0,0,0,1130,995,327,3,0
121.1,1265,45,0,0,0,1148,998,317,2,0
121.6,1269,52,0,0,0,1165,1029,285,2,0
122.1,1286,43,0,0,0,1119,976,341,2,0
122.6,1289,51,0,0,0,1121,1015,311,2,0
123.1,1300,49,0,0,0,1133,1018,307,1,1
123.6,1282,58,0,0,0,1146,1032,295,2,1
124.1,1277,52,0,0,0,1149,1034,297,3,0
124.6,1304,54,0,0,0,1144,1034,297,3,0
125.1,1296,52,0,0,0,1167,1041,295,4,0
125.6,1325,37,0,0,0,1175,1040,294,3,0
126.1,1298,53,0,0,0,1142,1020,321,3,0
126.6,1309,48,0,0,0,1106,1003,338,4,0
127.1,1299,52,0,0,0,1135,1026,315,3,0
127.6,1335,44,0,0,0,1127,1019,323,3,0
128.1,1308,41,0,0,0,1130,1015,328,3,0
128.6,1296,51,0,0,0,1129,1025,321,3,0
129.1,1306,59,0,0,0,1118,1028,321,3,0
129.6,1310,46,0,0,0,1130,1025,323,3,0
130.1,1305,48,0,0,0,1119,1020,331,3,0
130.6,1290,49,0,0,0,1139,1028,326,4,0
131.1,1263,56,0,0,0,1149,1039,314,4,0
131.6,1298,45,0,0,0,1159,1045,312,5,0
132.1,1298,47,0,0,0,1160,1034,324,4,1
132.6,1316,61,0,0,0,1117,1036,322,5,0
