time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1806,45,50,3,30,1371,0,0,9,1
50.5,1768,68,52,3,28,1346,0,0,9,1
51,1805,46,52,2,34,1378,0,0,9,1
51.5,1778,55,58,3,35,1378,0,0,9,1
52,1810,35,60,1,37,1394,0,0,9,0
52.5,1764,65,54,5,40,1351,0,0,8,1
53,1819,44,58,1,40,1361,0,0,7,2
53.5,1792,61,48,3,46,1356,0,0,8,1
54,1806,54,52,2,41,1374,0,0,8,0
54.5,1802,48,49,2,36,1353,0,0,8,0
55,1820,63,50,2,42,1342,0,0,8,0
55.5,1784,63,54,0,40,1354,0,0,6,2
56,1835,58,58,2,33,1363,0,0,7,1
56.5,1828,51,55,3,39,1359,0,0,7,1
57,1850,46,48,4,40,1371,0,0,7,1
57.5,1850,56,52,2,33,1377,0,0,6,2
58,1859,46,59,7,32,1365,0,0,6,1
58.5,1877,49,66,1,25,1357,0,0,4,3
59,1849,61,58,7,24,1364,0,0,5,2
59.5,1903,56,55,6,27,1364,0,0,4,3
60,1874,60,49,2,31,1351,0,0,5,2
60.5,1875,63,37,5,36,1370,0,0,5,1
61,1876,67,37,3,43,1354,0,0,6,0
61.5,1927,52,45,0,35,1368,0,0,6,0
62,1941,58,35,3,38,1354,0,0,6,0
62.5,1918,59,52,3,29,1344,0,0,6,0
63,1939,59,48,4,33,1349,0,0,6,0
63.5,1943,46,45,2,36,1354,0,0,6,0
64,1915,53,50,1,35,1350,0,0,6,0
64.5,1912,69,42,2,31,1337,0,0,6,0
65,1914,69,46,1,26,1323,0,0,4,2
65.5,1922,55,52,2,32,1336,0,0,3,3
66,1913,61,48,3,35,1321,0,0,3,3
66.5,1888,66,47,1,31,1312,0,0,4,2
67,1950,67,41,4,33,1321,0,0,4,2
67.5,1957,55,42,4,31,1327,0,0,3,3
68,1919,67,46,2,33,1342,0,0,4,2
68.5,1968,63,42,3,32,1360,0,0,4,3
