time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,22,0,45,0,73,1018,1939,488,1,1
50.5,24,0,41,3,65,984,1916,514,1,0
51,23,2,43,0,66,974,1905,516,1,0
51.5,26,0,45,1,65,972,1878,541,1,0
52,24,0,41,1,68,993,1884,538,1,0
52.5,25,0,37,2,65,1002,1879,549,0,1
53,25,0,34,2,72,1027,1907,520,0,1
53.5,24,1,30,1,71,1035,1939,485,0,1
54,23,0,24,1,78,1026,1916,509,0,1
54.5,24,1,30,1,70,1031,1926,496,1,0
55,28,1,24,2,76,1018,1915,511,1,0
55.5,33,0,28,2,69,1021,1927,505,1,0
56,30,0,29,1,71,1035,1932,506,1,0
56.5,35,2,25,2,74,987,1908,527,1,0
57,34,0,32,1,69,1000,1909,521,1,0
57.5,34,0,29,3,73,1020,1934,496,1,0
58,35,0,34,1,73,999,1916,516,0,1
58.5,39,1,44,4,60,1004,1927,508,0,1
59,40,0,46,1,58,1001,1924,508,0,1
59.5,43,0,45,3,60,990,1918,525,0,0
60,39,4,48,3,56,997,1943,490,0,0
60.5,45,0,42,2,60,986,1920,514,0,0
61,43,0,45,1,55,983,1907,529,0,0
61.5,47,0,42,3,55,976,1907,526,0,0
62,45,2,50,3,55,977,1897,533,0,0
62.5,47,0,44,5,53,975,1911,521,0,0
63,44,2,42,3,54,964,1905,526,0,0
63.5,44,0,45,1,66,950,1903,519,0,0
64,41,0,38,3,65,988,1924,504,0,0
64.5,39,0,43,3,62,978,1918,501,0,0
65,35,0,34,4,70,983,1911,505,0,0
65.5,30,0,33,0,70,967,1909,502,0,0
66,31,3,36,6,62,970,1912,497,0,0
66.5,32,0,44,3,57,958,1913,495,0,0
67,31,1,42,0,53,992,1930,477,0,0
67.5,32,1,37,5,57,950,1909,499,0,0
68,33,1,44,0,62,978,1919,481,0,0
68.5,39,1,41,3,55,968,1908,493,0,0
69,37,0,39,1,53,976,1897,510,0,0
69.5,34,0,47,2,53,972,1885,525,0,0
70,34,2,53,3,46,978,1903,509,0,0
70.5,39,1,43,1,54,980,1896,512,0,0
71,38,1,43,2,56,1011,1901,511,0,0
71.5,38,1,42,2,61,1029,1919,493,0,0
72,36,0,34,2,63,1007,1900,508,0,0
72.5,37,1,35,0,58,969,1872,532,0,0
73,35,0,34,2,59,996,1891,508,0,0
73.5,37,1,38,1,60,988,1884,523,0,0
74,34,2,36,2,66,1012,1912,488,0,0
74.5,40,1,36,1,55,997,1895,503,0,0
75,38,0,34,1,60,981,1884,512,0,0
75.6,36,0,28,3,56,990,1911,485,0,0
76.1,34,1,33,1,61,996,1908,485,0,0
76.6,36,1,37,2,54,947,1874,521,0,0
77.1,39,1,36,4,57,946,1868,528,0,0
77.6,35,0,39,0,57,1022,1939,455,0,1
78.1,34,1,39,0,55,948,1882,512,0,1
78.6,34,2,42,1,51,957,1885,514,0,1
79.1,40,0,38,3,48,1000,1933,463,1,0
79.6,37,1,41,2,54,956,1891,509,1,0
80.1,37,0,37,2,52,960,1884,519,1,1
