time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1302,47,0,0,0,1020,1898,501,1,0
50.5,1314,45,0,0,0,1059,1924,473,1,0
51,1264,46,0,0,0,985,1862,531,1,0
51.5,1275,40,0,0,0,1014,1884,508,1,0
52,1290,52,0,0,0,1017,1899,489,1,0
52.5,1263,34,0,0,0,1005,1847,534,1,0
53,1272,42,0,0,0,1045,1877,499,1,0
53.5,1261,41,0,0,0,1042,1867,509,1,0
54,1260,45,0,0,0,1026,1857,517,1,0
54.5,1253,43,0,0,0,1014,1836,535,1,0
55,1219,54,0,0,0,1025,1862,507,1,0
55.5,1270,40,0,0,0,1049,1866,505,1,0
56,1270,42,0,0,0,1019,1828,545,2,0
56.5,1238,39,0,0,0,1051,1853,520,2,0
57,1272,36,0,0,0,1045,1855,522,1,1
57.5,1254,45,0,0,0,1029,1841,541,2,0
58,1269,40,0,0,0,1044,1853,525,2,0
58.5,1279,52,0,0,0,1031,1841,528,2,0
59,1297,42,0,0,0,1061,1853,519,2,0
59.5,1312,51,0,0,0,1060,1868,496,2,0
60,1307,55,0,0,0,1027,1860,506,2,0
60.5,1278,50,0,0,0,1046,1870,495,2,0
61,1288,45,0,0,0,1048,1864,509,1,1
61.5,1299,38,0,0,0,1036,1830,545,1,1
62,1318,40,0,0,0,1054,1843,529,2,0
62.5,1305,35,0,0,0,1032,1826,544,2,0
63,1318,42,0,0,0,1024,1837,536,2,0
63.5,1336,40,0,0,0,1040,1842,527,2,0
64,1337,40,0,0,0,1042,1851,524,2,0
64.5,1292,39,0,0,0,1042,1863,512,2,0
65,1321,40,0,0,0,1044,1857,517,2,0
65.5,1307,46,0,0,0,1004,1822,541,2,0
66,1310,36,0,0,0,998,1813,538,2,0
66.5,1325,42,0,0,0,1013,1830,520,2,0
67,1301,44,0,0,0,1036,1842,501,2,0
67.5,1297,47,0,0,0,1045,1855,496,2,0
68,1325,44,0,0,0,1046,1852,492,2,0
68.5,1321,31,0,0,0,1056,1825,523,2,0
69,1292,48,0,0,0,1049,1841,511,2,0
69.5,1277,55,0,0,0,1060,1865,478,2,0
70,1310,48,0,0,0,1034,1815,527,2,1
70.5,1309,52,0,0,0,1039,1823,514,2,0
71,1325,41,0,0,0,1047,1819,518,2,0
71.5,1312,40,0,0,0,1041,1813,520,2,0
72,1325,36,0,0,0,1022,1790,536,2,0
72.5,1320,49,0,0,0,1047,1821,511,2,0
73,1296,46,0,0,0,1066,1831,504,2,0
73.5,1321,44,0,0,0,1048,1811,519,2,0
74,1282,41,0,0,0,1027,1786,549,2,0
74.5,1347,49,0,0,0,1046,1830,507,2,0
75,1323,58,0,0,0,1029,1799,541,2,0
75.6,1362,41,0,0,0,1033,1815,526,2,0
76.1,1340,47,0,0,0,1017,1825,523,2,0
76.6,1331,48,0,0,0,1052,1852,499,2,0
77.1,1301,44,0,0,0,1067,1851,502,2,0
77.6,1306,51,0,0,0,1045,1829,521,2,0
78.1,1311,57,0,0,0,1038,1842,508,2,0
78.6,1300,48,0,0,0,1034,1830,522,2,0
79.1,1298,50,0,0,0,1050,1844,507,2,0
79.6,1298,44,0,0,0,1007,1788,562,2,0
80.1,1295,39,0,0,0,1045,1821,521,2,0
80.6,1273,56,0,0,0,1066,1829,513,2,0
81.1,1275,52,0,0,0,1054,1833,510,2,0
81.6,1289,43,0,0,0,1063,1850,498,2,0
82.1,1267,54,0,0,0,1036,1847,504,2,0
82.6,1272,40,0,0,0,1038,1837,527,1,0
83.1,1273,45,0,0,0,1040,1853,511,2,0
83.6,1302,50,0,0,0,1031,1854,518,2,0
84.1,1298,42,0,0,0,1055,1850,522,2,0
84.6,1315,38,0,0,0,1056,1843,528,2,0
85.1,1316,38,0,0,0,1024,1833,539,2,0
85.6,1309,40,0,0,0,1022,1840,535,1,1
86.1,1336,48,0,0,0,1026,1856,521,2,0
86.6,1324,47,0,0,0,1028,1867,510,2,0
87.1,1347,36,0,0,0,1057,1891,486,2,0
87.6,1333,48,0,0,0,1003,1865,509,2,0
88.1,1311,48,0,0,0,1023,1880,493,2,0
88.6,1320,40,0,0,0,995,1835,540,2,0
89.1,1313,46,0,0,0,1023,1863,512,2,0
89.6,1297,52,0,0,0,1025,1859,510,2,0
90.1,1287,59,0,0,0,992,1839,522,2,0
90.6,1299,44,0,0,0,1021,1854,518,2,0
91.1,1287,43,0,0,0,1008,1835,533,2,0
91.6,1299,53,0,0,0,1029,1867,495,2,0
92.1,1309,52,0,0,0,1032,1854,505,2,0
92.6,1318,42,0,0,0,1011,1828,539,2,0
93.1,1332,32,0,0,0,1023,1840,527,2,0
93.6,1345,38,0,0,0,1041,1867,509,2,0
94.1,1365,39,0,0,0,1023,1859,515,2,0
94.6,1304,44,0,0,0,1027,1852,529,2,0
95.1,1316,40,0,0,0,1031,1861,511,2,0
95.6,1350,42,0,0,0,1009,1852,520,2,0
96.1,1346,37,0,0,0,1035,1852,522,2,0
96.6,1368,39,0,0,0,1021,1850,519,2,0
97.1,1365,59,0,0,0,982,1849,522,2,0
97.6,1360,52,0,0,0,983,1837,536,2,0
98.1,1370,46,0,0,0,980,1822,549,3,0
98.6,1379,35,0,0,0,972,1826,542,3,0
99.1,1327,50,0,0,0,982,1844,524,3,0
99.6,1357,35,0,0,0,1028,1878,485,3,0
100.1,1367,40,0,0,0,1002,1876,488,2,0
100.6,1366,39,0,0,0,983,1849,514,2,0
101.1,1336,58,0,0,0,980,1858,506,2,0
101.6,1353,39,0,0,0,1013,1873,488,2,0
102.1,1313,48,0,0,0,1006,1871,494,2,0
102.6,1335,34,0,0,0,1032,1866,502,2,0
103.1,1357,51,0,0,0,1016,1888,471,2,0
103.6,1331,49,0,0,0,1003,1884,477,2,0
104.1,1348,43,0,0,0,1015,1887,478,3,0
104.6,1341,46,0,0,0,1009,1895,471,2,0
105.1,1336,49,0,0,0,1019,1903,469,2,0
105.6,1354,41,0,0,0,995,1868,499,3,0
106.1,1363,40,0,0,0,997,1859,514,2,0
106.6,1358,35,0,0,0,990,1833,534,2,0
107.1,1349,45,0,0,0,996,1857,506,2,0
107.6,1370,39,0,0,0,980,1863,503,2,0
108.1,1358,51,0,0,0,970,1882,494,2,0
108.6,1363,47,0,0,0,1001,1880,493,2,0
109.1,1340,46,0,0,0,995,1868,498,2,1
109.6,1374,39,0,0,0,971,1852,515,2,1
110.1,1380,41,0,0,0,997,1871,497,3,0
110.6,1352,52,0,0,0,976,1883,478,3,0
111.1,1365,45,0,0,0,974,1869,494,3,0
