time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,4991,140,129,9,83,4093,0,0,15,5
50.5,4976,168,127,11,86,4065,0,0,15,4
51,5075,139,128,12,79,4072,0,0,17,2
51.5,5055,164,132,9,80,4076,0,0,17,2
52,5033,161,116,9,87,4078,0,0,16,3
52.5,5088,149,124,9,81,4070,0,0,15,6
53,5077,161,124,8,78,4044,0,0,16,5
53.5,5066,156,119,7,85,4083,0,0,17,3
54,5053,145,123,6,85,4099,0,0,15,5
54.5,5018,170,118,14,78,4056,0,0,15,5
55,5013,165,121,11,72,4080,0,0,15,8
55.5,5047,163,117,7,71,4053,0,0,17,6
56,5063,179,115,9,76,4039,0,0,17,6
56.5,5091,148,118,5,73,4080,0,0,16,5
57,5094,174,126,12,55,4035,0,0,14,6
57.5,5164,163,133,6,63,4060,0,0,13,7
58,5186,164,133,8,60,4060,0,0,13,6
58.5,5211,134,124,5,79,4072,0,0,13,6
59,5149,172,124,8,70,4029,0,0,12,7
59.5,5191,155,126,6,68,4049,0,0,12,8
60,5185,177,124,5,62,4035,0,0,13,6
60.5,5240,153,123,3,76,4064,0,0,14,5
61,5213,154,116,6,77,4056,0,0,15,3
61.5,5236,161,115,8,77,4037,0,0,14,3
62,5210,154,123,10,71,4054,0,0,14,3
62.5,5236,145,117,11,72,4054,0,0,14,4
63,5237,169,132,4,73,4052,0,0,14,4
63.5,5276,156,139,5,71,4061,0,0,11,6
64,5272,154,121,12,72,4032,0,0,13,3
64.5,5253,151,123,4,70,4037,0,0,13,5
65,5212,145,126,6,64,4054,0,0,13,5
65.5,5266,164,121,7,63,4024,0,0,13,6
66,5296,144,115,14,66,4037,0,0,15,4
66.5,5304,168,128,10,62,4004,0,0,15,3
67,5321,170,122,9,65,4002,0,0,12,7
67.5,5324,155,117,8,74,4013,0,0,12,7
68,5316,161,115,5,78,4012,0,0,12,5
68.5,5311,177,110,1,80,3991,0,0,15,1
69,5371,149,122,3,73,4029,0,0,14,2
69.5,5366,157,122,7,79,4028,0,0,14,1
70,5348,159,117,4,84,4013,0,0,13,2
70.5,5360,165,124,7,81,4021,0,0,13,2
71,5358,160,118,9,83,3999,0,0,13,2
71.5,5392,153,117,10,77,4015,0,0,14,1
72,5385,166,120,6,76,3988,0,0,14,1
72.5,5344,165,122,7,82,3997,0,0,14,0
73,5367,164,130,7,79,3999,0,0,13,1
73.5,5370,160,128,9,73,3986,0,0,13,1
74,5405,165,144,6,64,4011,0,0,11,1
74.5,5454,152,143,9,59,3990,0,0,11,2
75,5420,167,137,8,67,3998,0,0,9,4
75.6,5372,150,136,4,70,3979,0,0,9,4
76.1,5391,154,130,10,71,3991,0,0,8,6
76.6,5376,174,137,6,65,4010,0,0,8,5
77.1,5401,157,122,7,76,4014,0,0,8,5
77.6,5390,170,114,8,76,3991,0,0,8,4
78.1,5372,152,103,9,74,3995,0,0,9,3
78.6,5411,153,94,11,86,3990,0,0,10,2
79.1,5433,158,110,7,74,4005,0,0,10,3
79.6,5446,175,98,12,74,3978,0,0,11,2
80.1,5492,159,112,6,65,3977,0,0,10,5
80.6,5456,180,99,10,66,3954,0,0,9,5
81.1,5522,164,118,8,60,3961,0,0,7,7
81.6,5535,143,125,5,59,3997,0,0,7,7
82.1,5519,153,116,13,55,3975,0,0,8,5
82.6,5537,135,114,8,56,4001,0,0,8,5
83.1,5465,188,114,5,60,3939,0,0,9,4
83.6,5500,172,108,10,61,3968,0,0,7,7
84.1,5501,159,105,5,67,3952,0,0,8,6
84.6,5488,159,103,8,76,3974,0,0,8,6
85.1,5479,152,108,11,67,3991,0,0,9,5
85.6,5522,172,100,9,70,3989,0,0,10,4
86.1,5570,180,108,3,72,3977,0,0,9,6
86.6,5565,166,114,9,63,4005,0,0,10,4
87.1,5580,169,114,4,64,3989,0,0,10,6
87.6,5575,179,105,6,69,3985,0,0,11,5
88.1,5546,185,106,6,69,3996,0,0,11,4
88.6,5553,182,111,4,71,3983,0,0,11,4
89.1,5594,164,103,7,72,3999,0,0,10,5
89.6,5563,195,107,4,73,3974,0,0,10,5
90.1,5579,164,98,5,72,4020,0,0,12,3
90.6,5605,172,101,7,72,4004,0,0,12,3
91.1,5618,167,107,4,66,4003,0,0,11,4
91.6,5604,178,106,6,65,4005,0,0,12,3
92.1,5657,179,105,8,65,3997,0,0,10,5
92.6,5666,181,106,9,68,3985,0,0,9,6
93.1,5659,164,113,7,63,3998,0,0,7,7
