time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1094,23,70,6,0,801,1758,613,3,4
50.5,1093,15,65,4,0,853,1809,554,3,5
51,1080,19,66,1,0,852,1798,569,4,4
51.5,1083,15,64,2,1,820,1777,587,3,5
52,1080,16,65,1,1,804,1769,599,4,4
52.5,1071,20,60,3,0,807,1768,609,3,5
53,1073,19,54,1,0,790,1762,606,4,5
53.5,1065,20,54,1,0,793,1766,604,4,5
54,1073,25,57,2,1,788,1781,584,3,6
54.5,1049,19,56,3,1,824,1783,588,5,3
55,1040,19,57,1,1,801,1783,582,4,4
55.5,1035,16,63,0,1,810,1777,586,5,3
56,1035,25,62,2,1,792,1776,584,5,3
56.5,1056,24,59,2,2,782,1759,606,3,4
57,1090,15,61,1,1,818,1774,593,3,4
57.5,1094,20,55,1,1,827,1793,579,3,4
58,1082,13,57,1,1,808,1769,606,4,3
58.5,1087,13,64,2,1,809,1775,598,4,3
59,1081,17,60,1,0,785,1759,616,5,2
59.5,1133,19,61,4,0,803,1778,599,3,3
60,1102,17,63,1,0,790,1774,603,3,3
60.5,1095,17,61,1,0,813,1795,588,4,2
61,1113,22,61,0,0,829,1804,580,4,2
61.5,1100,19,55,6,0,807,1794,584,4,1
62,1109,11,64,6,0,795,1764,611,4,1
62.5,1079,19,64,3,0,799,1776,594,4,1
63,1061,18,61,3,1,820,1791,576,4,1
63.5,1095,21,58,2,0,812,1785,585,4,1
64,1072,18,61,0,0,804,1775,601,4,1
64.5,1084,19,59,1,0,822,1789,579,4,1
65,1072,23,68,2,0,828,1794,577,4,1
65.5,1080,13,69,1,0,815,1774,602,4,1
66,1079,30,67,2,0,802,1781,594,4,1
66.5,1122,17,65,3,0,802,1780,597,4,1
67,1119,18,56,3,0,786,1766,614,4,0
67.5,1159,17,59,4,1,802,1773,594,4,1
68,1121,15,57,3,0,815,1776,587,4,1
68.5,1113,10,63,1,0,825,1774,594,4,1
69,1103,22,60,2,0,792,1765,606,3,2
69.5,1091,16,56,4,0,803,1781,589,3,2
70,1076,23,63,5,0,778,1756,617,3,2
70.5,1088,31,66,5,0,806,1800,568,4,0
71,1138,13,57,3,2,801,1778,594,4,3
71.5,1092,24,60,4,2,813,1796,574,4,2
72,1118,15,57,1,1,832,1814,559,6,1
72.5,1089,26,60,2,2,796,1785,595,4,2
73,1110,27,64,6,2,813,1805,568,4,2
73.5,1143,15,63,0,2,831,1805,564,4,1
74,1129,25,70,1,1,794,1775,589,4,0
74.5,1159,19,71,3,1,810,1786,588,4,0
75,1165,17,72,2,1,804,1792,586,4,0
75.6,1122,21,65,1,0,796,1765,607,4,0
76.1,1150,21,62,3,0,788,1751,621,4,0
76.6,1140,16,67,0,0,816,1776,595,4,0
77.1,1126,21,65,2,1,834,1804,571,4,1
77.6,1115,23,72,1,1,809,1782,596,1,6
78.1,1121,17,61,3,1,825,1784,601,1,6
78.6,1123,15,61,3,1,814,1782,598,0,6
79.1,1104,25,56,5,1,796,1782,604,1,3
79.6,1151,19,59,2,1,799,1777,611,2,3
80.1,1129,20,62,2,1,786,1760,624,3,2
80.6,1135,21,62,4,1,822,1791,585,3,2
81.1,1164,22,68,1,1,830,1788,595,2,3
81.6,1153,16,61,1,0,818,1789,597,3,3
82.1,1138,21,55,2,0,808,1797,594,5,1
82.6,1142,22,52,3,1,808,1781,611,5,1
83.1,1111,19,56,5,1,816,1796,593,6,1
83.6,1116,19,54,3,2,818,1794,598,4,2
84.1,1144,22,58,1,1,818,1791,597,4,1
84.6,1134,15,52,1,1,832,1789,595,4,1
85.1,1125,16,55,2,1,794,1755,628,4,1
85.6,1132,19,51,4,1,796,1752,632,4,1
86.1,1145,15,52,1,1,803,1763,617,4,3
86.6,1115,19,52,3,0,839,1796,597,3,4
87.1,1154,18,61,3,0,805,1776,614,3,3
87.6,1146,18,64,2,0,797,1763,620,3,3
88.1,1134,19,63,5,0,826,1785,597,3,3
88.6,1153,11,80,0,0,840,1802,579,2,4
89.1,1150,16,64,3,0,820,1775,604,2,4
89.6,1135,17,72,0,0,823,1756,621,2,4
90.1,1153,17,65,3,0,829,1765,613,0,6
90.6,1165,15,70,5,0,843,1774,605,1,4
91.1,1155,18,71,3,0,857,1792,587,1,3
91.6,1144,30,73,4,0,835,1784,595,1,3
92.1,1134,23,72,3,0,829,1775,602,1,2
92.6,1121,20,69,5,0,838,1786,596,1,2
93.1,1097,27,74,2,0,829,1784,601,1,2
93.6,1084,23,71,2,0,843,1772,602,2,1
94.1,1116,13,58,2,0,822,1769,610,3,0
94.6,1125,16,52,2,0,817,1773,602,3,0
95.1,1121,18,53,3,1,831,1780,589,3,0
95.6,1114,18,59,2,0,802,1769,598,2,1
96.1,1129,18,60,1,0,803,1779,584,2,1
96.6,1140,17,59,0,0,771,1746,625,3,0
97.1,1130,19,59,3,1,839,1790,577,1,2
97.6,1141,16,55,2,1,833,1797,570,1,2
98.1,1148,17,56,3,2,817,1794,577,1,3
98.6,1105,29,51,5,1,797,1787,582,1,2
99.1,1128,19,60,3,1,823,1792,574,1,2
99.6,1133,19,61,1,0,833,1822,549,1,1
100.1,1138,15,60,2,0,819,1797,573,1,1
100.6,1124,26,63,1,0,762,1743,631,1,2
101.1,1145,18,57,1,0,791,1775,599,2,1
101.6,1120,27,62,1,0,782,1755,620,1,2
102.1,1117,22,59,3,0,766,1723,652,1,1
102.6,1126,24,48,3,1,797,1764,611,0,2
103.1,1138,21,51,2,0,815,1785,589,0,2
103.6,1121,18,50,3,0,766,1737,634,0,2
104.1,1114,18,51,3,0,794,1756,619,0,2
104.6,1147,22,46,6,0,780,1749,626,0,2
105.1,1144,17,53,1,0,817,1784,581,0,2
105.6,1134,24,58,3,0,812,1788,572,0,2
106.1,1132,26,62,2,0,797,1756,607,0,2
106.6,1155,16,61,2,0,779,1724,641,1,1
107.1,1165,15,60,5,0,805,1770,587,1,1
107.6,1141,15,55,4,0,821,1780,587,0,2
108.1,1162,15,49,4,0,858,1796,569,0,3
108.6,1163,26,47,5,1,844,1807,563,0,3
109.1,1118,19,55,1,1,812,1781,591,1,2
109.6,1117,21,54,4,1,810,1789,586,0,2
110.1,1169,16,57,4,1,817,1785,592,0,2
110.6,1145,20,57,1,1,824,1785,594,0,1
111.1,1152,25,58,0,2,837,1805,572,0,1
111.6,1162,20,58,2,0,841,1793,591,1,0
112.1,1174,27,58,1,0,843,1795,576,1,0
112.6,1182,15,64,2,0,833,1782,586,1,0
113.1,1198,23,62,2,1,794,1751,611,1,0
113.6,1171,26,65,0,1,815,1763,598,1,0
114.1,1164,24,63,3,1,846,1795,556,1,0
114.6,1172,14,60,4,1,827,1764,587,1,0
115.1,1154,33,61,1,1,787,1755,601,1,0
115.6,1153,21,65,0,1,818,1763,595,1,0
116.1,1184,20,71,2,1,825,1777,581,1,0
116.6,1178,31,67,4,0,795,1766,599,1,0
117.1,1189,14,71,6,1,772,1744,623,1,0
117.6,1177,14,68,2,0,791,1718,645,1,1
118.1,1181,13,71,4,0,842,1765,597,1,1
118.6,1179,13,72,3,0,825,1752,612,1,1
119.1,1155,20,71,1,0,868,1785,570,0,2
119.6,1164,20,61,5,0,858,1776,574,0,2
120.1,1164,22,61,3,0,847,1768,587,0,2
120.6,1190,16,56,3,0,818,1741,611,0,2
121.1,1202,18,58,3,0,817,1736,622,0,0
121.6,1183,19,60,0,0,832,1732,629,0,0
122.1,1185,20,57,1,0,835,1743,615,0,0
122.6,1182,15,56,2,0,857,1746,604,0,0
123.1,1157,32,50,5,0,852,1769,590,0,0
123.6,1180,14,56,3,0,862,1771,586,0,1
124.1,1172,17,58,6,0,867,1766,594,0,0
124.6,1163,23,58,1,0,819,1736,611,0,2
125.1,1138,21,51,6,0,808,1737,614,0,2
125.6,1160,19,56,1,0,836,1745,608,0,2
126.1,1137,22,60,0,0,841,1730,623,0,2
126.6,1163,21,55,0,0,871,1751,606,0,2
127.1,1142,24,52,2,0,854,1744,609,0,1
127.6,1190,17,56,1,0,816,1707,648,1,0
128.1,1179,18,56,3,0,869,1753,601,1,0
128.6,1159,32,52,3,0,839,1733,621,1,0
129.1,1156,13,52,2,0,860,1735,623,1,0
129.6,1176,13,54,3,0,858,1726,628,1,0
130.1,1131,15,55,3,0,873,1730,614,1,0
130.6,1167,8,48,2,0,889,1719,626,1,0
131.1,1139,17,51,2,0,869,1717,628,1,0
131.6,1129,14,60,1,0,857,1708,632,1,0
132.1,1133,21,59,0,0,836,1696,643,1,0
132.6,1139,16,61,1,0,866,1722,623,1,0
133.1,1143,22,63,1,0,875,1734,612,1,0
133.6,1148,19,60,3,0,858,1721,631,1,0
134.1,1163,20,56,2,0,876,1732,617,1,0
134.6,1148,23,51,3,0,872,1750,584,1,0
135.1,1141,21,63,2,0,844,1724,615,1,0
135.6,1167,18,63,2,0,838,1696,645,1,0
136.1,1170,14,61,5,0,866,1732,607,1,0
136.6,1140,24,63,3,0,869,1730,608,1,0
137.1,1149,27,63,7,0,863,1737,605,0,2
137.6,1140,19,67,4,0,851,1720,619,0,2
138.1,1120,23,68,4,0,834,1707,631,1,1
138.6,1106,23,61,2,0,871,1744,593,2,0
139.1,1127,16,60,5,0,881,1742,595,2,0
139.6,1129,20,56,3,0,859,1714,625,1,0
140.1,1126,16,55,1,0,843,1707,633,1,0
140.6,1140,20,55,0,0,855,1739,593,1,0
141.1,1111,19,51,5,0,820,1699,632,1,0
141.6,1135,27,55,2,0,847,1738,582,1,0
142.1,1127,27,49,1,0,855,1739,584,1,2
142.6,1122,25,49,3,0,872,1748,577,1,2
143.1,1119,24,49,3,0,828,1711,613,1,2
143.6,1112,13,50,2,0,800,1677,634,1,1
144.1,1119,14,56,2,2,853,1712,613,1,1
144.6,1124,14,59,2,1,841,1718,603,1,1
145.1,1113,16,53,1,0,831,1720,592,2,1
145.6,1106,16,48,4,0,819,1699,618,2,1
146.1,1106,18,53,1,0,848,1726,599,2,1
146.6,1080,23,53,2,0,831,1720,603,2,0
147.1,1083,26,54,0,0,851,1721,595,3,0
147.6,1094,17,54,4,0,878,1746,581,3,0
148.1,1093,15,56,0,0,819,1685,639,1,0
148.6,1066,14,60,1,0,828,1711,616,2,0
149.1,1079,17,66,1,0,865,1760,568,2,0
149.6,1077,18,58,1,0,846,1738,591,2,0
150.1,1103,18,54,2,0,834,1729,602,2,0
150.6,1106,20,54,2,0,848,1746,591,2,0
151.1,1086,22,56,0,0,827,1717,625,2,0
151.6,1079,17,50,3,0,850,1732,603,2,0
152.1,1095,16,56,1,0,837,1724,622,2,0
152.6,1081,21,54,2,0,830,1733,599,2,0
153.1,1107,18,60,0,0,805,1697,647,2,0
153.6,1105,16,52,1,0,841,1732,614,2,0
154.1,1125,17,50,3,0,812,1724,622,1,0
154.6,1121,23,51,2,0,813,1731,610,1,0
155.1,1091,17,54,2,0,856,1751,587,1,0
155.6,1096,15,52,2,0,863,1746,587,1,0
156.1,1086,19,55,4,0,826,1721,610,1,0
156.6,1103,14,52,2,0,867,1745,588,1,0
157.1,1083,25,52,3,0,871,1745,583,1,0
157.6,1087,17,58,3,0,880,1741,593,0,1
158.1,1082,19,56,5,0,871,1740,600,0,1
158.6,1067,22,58,1,0,849,1732,606,0,1
159.1,1055,25,54,2,1,831,1731,605,0,1
159.6,1085,13,55,2,0,837,1725,609,0,1
160.1,1070,20,61,2,0,815,1716,619,1,0
160.6,1106,18,69,0,0,879,1745,600,1,0
161.1,1098,26,61,1,0,843,1725,620,1,0
161.6,1141,18,64,2,0,829,1716,634,1,0
162.1,1113,14,68,1,0,831,1715,627,1,0
162.6,1086,22,64,1,0,845,1721,624,1,0
163.1,1113,16,70,2,0,857,1748,601,1,0
163.6,1094,21,59,3,0,847,1738,604,1,0
164.1,1106,15,55,1,0,826,1720,623,1,1
164.6,1096,24,52,2,0,817,1714,625,1,0
165.1,1123,21,61,4,0,815,1699,637,1,0
165.6,1116,18,61,2,0,845,1725,618,1,0
166.1,1099,19,60,4,0,832,1708,632,1,0
166.6,1090,23,62,2,0,860,1728,610,1,0
167.1,1090,19,63,2,0,865,1715,618,1,0
167.6,1109,14,60,2,0,877,1734,606,1,0
168.1,1100,22,64,5,0,864,1736,595,1,0
168.6,1065,25,64,1,0,877,1750,578,1,1
169.1,1082,15,60,2,0,881,1737,595,1,1
169.6,1085,21,57,5,0,850,1712,622,2,0
170.1,1110,17,64,1,1,881,1754,577,1,0
170.6,1087,18,69,2,1,884,1759,575,1,0
171.1,1104,10,63,0,2,859,1734,596,0,1
171.6,1085,9,67,2,1,856,1726,602,0,0
172.1,1060,21,57,0,1,851,1739,589,0,0
172.6,1067,18,54,2,1,830,1713,610,0,1
173.1,1087,13,55,1,1,855,1716,607,0,0
173.6,1083,21,56,0,0,839,1715,600,0,0
174.1,1091,23,47,4,1,831,1720,601,0,0
174.6,1099,15,50,1,1,820,1706,624,0,0
175.1,1119,13,49,2,1,841,1727,601,0,0
175.6,1092,21,44,3,1,837,1720,608,0,0
176.1,1089,15,45,1,1,844,1715,607,0,0
176.6,1085,19,51,2,1,857,1739,578,0,0
177.1,1111,16,61,1,1,849,1730,591,0,0
177.6,1136,25,50,4,1,822,1726,600,0,1
178.1,1110,20,63,1,1,854,1747,576,0,1
178.6,1112,28,59,3,1,822,1730,591,0,1
179.1,1135,12,65,1,1,847,1712,611,0,1
179.6,1134,20,62,4,1,836,1707,613,0,1
180.1,1128,20,57,4,1,865,1738,580,0,1
180.6,1109,16,56,4,1,862,1736,583,0,1
181.1,1117,22,54,0,1,871,1739,573,0,1
181.6,1115,19,58,1,1,841,1701,612,0,1
182.1,1111,18,50,1,1,842,1708,598,0,1
182.6,1141,15,54,4,1,814,1687,616,0,1
183.1,1106,20,57,1,0,808,1685,621,0,1
183.6,1117,23,61,2,0,816,1710,600,1,0
184.1,1085,16,54,4,0,856,1726,579,1,0
184.6,1100,21,63,2,0,815,1698,607,0,1
185.1,1075,28,65,2,0,819,1706,602,0,1
185.6,1123,13,63,2,0,858,1719,597,0,1
186.1,1119,13,66,1,0,846,1716,597,0,1
186.6,1126,21,60,1,0,852,1710,598,0,1
187.1,1125,21,54,1,0,847,1710,594,0,1
187.6,1089,17,56,5,0,837,1691,610,0,1
188.1,1102,11,56,6,0,843,1694,621,0,0
188.6,1097,13,59,2,0,827,1687,623,0,0
189.1,1081,18,59,0,0,836,1705,600,0,0
189.6,1092,12,56,5,0,842,1723,577,0,0
190.1,1096,20,61,3,0,851,1722,578,0,0
190.6,1093,27,63,1,0,816,1700,593,1,0
191.1,1113,15,67,3,0,824,1703,596,1,0
191.6,1102,17,64,3,0,839,1710,594,1,0
192.1,1096,21,60,4,0,826,1702,597,1,0
192.6,1116,13,59,2,0,844,1713,582,1,0
193.1,1087,24,62,0,0,833,1699,595,0,1
193.6,1091,27,59,4,0,830,1676,623,0,0
194.1,1121,17,59,4,0,855,1707,586,0,0
194.6,1115,20,64,2,0,859,1705,587,0,0
195.1,1106,19,57,3,0,786,1654,637,0,0
195.6,1095,17,55,5,0,803,1659,635,0,0
196.1,1125,28,60,2,0,821,1676,616,0,0
196.6,1145,22,57,2,0,824,1651,643,0,0
197.1,1134,21,56,3,0,823,1646,647,0,0
197.6,1122,23,60,3,0,858,1705,590,0,0
198.1,1145,13,59,1,0,875,1691,603,0,0
198.6,1110,29,62,1,0,829,1673,610,0,0
199.1,1114,20,59,2,0,855,1691,589,0,3
199.6,1119,18,58,3,0,881,1693,583,0,1
200.1,1101,22,51,3,0,830,1668,615,0,1
