time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1127,28,57,6,0,1013,926,378,7,6
50.5,1132,19,63,2,0,1007,905,403,7,7
51,1091,28,60,1,1,1021,930,378,8,6
51.5,1100,16,63,2,1,1021,910,403,9,4
52,1093,32,59,3,0,1009,928,386,9,4
52.5,1116,25,63,1,0,1021,939,372,9,4
53,1113,27,57,5,0,1000,919,394,10,2
53.5,1093,25,52,3,0,994,901,411,11,1
54,1125,20,54,5,3,1017,900,409,8,4
54.5,1106,29,57,1,2,1032,928,380,9,2
55,1091,13,58,4,2,995,910,398,9,2
55.5,1112,18,52,4,1,989,923,388,9,1
56,1099,26,57,1,1,984,919,397,9,1
56.5,1099,28,48,4,1,1002,937,389,9,2
57,1110,24,54,1,1,1000,948,373,9,1
57.5,1058,20,52,2,1,1018,955,363,10,0
58,1072,17,52,1,0,990,938,380,9,1
58.5,1084,33,51,3,1,965,942,381,8,2
59,1095,25,53,1,1,984,933,392,7,3
59.5,1091,28,50,3,1,998,966,358,7,3
60,1092,22,52,1,1,969,937,390,8,2
60.5,1082,22,48,3,1,983,941,386,8,2
61,1055,17,56,5,2,997,943,381,6,5
61.5,1074,29,55,1,2,1005,952,374,4,7
62,1075,26,51,5,2,996,959,372,5,6
62.5,1084,26,49,1,2,982,936,396,5,5
63,1080,30,51,1,1,982,935,393,7,4
63.5,1084,26,60,1,1,993,954,376,7,3
64,1090,33,61,3,1,994,943,381,8,2
64.5,1068,24,65,2,1,960,912,410,7,2
65,1066,30,67,1,3,1002,949,373,6,3
65.5,1084,16,68,3,3,1018,940,385,7,2
66,1055,22,55,6,3,1007,929,395,8,3
66.5,1067,11,58,1,5,990,911,413,7,4
67,1045,18,55,2,4,991,918,400,7,5
67.5,1063,22,57,3,5,978,905,410,6,5
68,1066,15,59,0,4,1017,915,397,6,4
68.5,1056,25,57,1,3,1012,908,397,7,3
69,1084,20,58,2,1,1033,925,383,7,1
69.5,1068,26,58,0,1,1016,925,382,6,2
70,1082,17,57,2,1,1015,921,386,5,3
70.5,1097,28,49,5,1,1009,921,392,5,2
71,1103,29,57,3,1,1003,927,384,6,2
71.5,1101,26,52,2,1,1031,934,378,6,2
72,1085,26,45,4,0,1026,943,372,7,1
72.5,1094,26,48,6,0,1009,943,378,7,1
73,1130,26,51,1,0,1013,946,375,7,2
73.5,1140,18,50,3,0,1010,952,368,7,2
74,1123,27,42,3,0,983,949,369,8,1
74.5,1119,16,49,0,0,965,930,388,8,1
75,1107,27,55,3,1,951,940,372,9,0
75.6,1131,17,56,2,0,966,940,366,9,0
76.1,1100,25,55,2,0,955,953,350,9,1
76.6,1119,22,55,2,0,939,938,370,9,1
77.1,1122,30,57,4,0,939,939,365,9,1
77.6,1116,25,56,1,0,959,951,356,9,1
78.1,1119,14,52,3,0,957,941,361,8,2
78.6,1088,14,57,3,0,934,928,374,8,2
79.1,1089,23,45,4,0,953,936,370,7,3
79.6,1122,18,41,4,1,952,928,377,8,2
80.1,1107,15,54,2,0,994,944,352,8,2
80.6,1114,22,61,1,0,952,932,373,8,2
81.1,1101,25,59,0,0,961,946,356,8,2
81.6,1097,22,59,1,0,948,936,371,8,3
