time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1325,25,49,2,78,1012,1867,539,2,1
50.5,1311,20,49,0,80,1047,1904,507,3,1
51,1329,27,42,3,83,1015,1905,497,3,1
51.5,1334,23,40,1,77,1020,1888,514,2,2
52,1330,26,40,2,79,1013,1881,519,2,2
52.5,1307,34,38,2,80,997,1877,517,1,3
53,1326,29,39,1,72,1013,1890,504,2,2
53.5,1338,28,35,2,78,996,1869,533,2,2
54,1339,30,47,1,77,1015,1873,527,2,2
54.5,1349,31,48,1,75,1003,1870,530,2,2
55,1352,34,42,1,81,985,1847,551,3,1
55.5,1378,31,51,3,71,1012,1869,526,3,1
56,1397,25,44,2,78,1004,1867,527,3,1
56.5,1412,28,47,0,73,1000,1853,548,3,1
57,1377,32,48,0,79,987,1852,543,3,1
57.5,1412,25,47,0,76,1023,1866,530,3,1
58,1397,32,47,3,80,1051,1894,513,3,1
58.5,1413,28,46,3,81,1015,1864,541,3,1
59,1355,23,46,2,73,982,1843,563,4,0
59.5,1388,31,45,5,81,1019,1901,502,4,0
60,1370,32,54,1,81,1008,1874,527,3,0
60.5,1423,22,47,3,84,1026,1882,523,3,0
61,1444,41,39,2,88,980,1857,544,2,1
61.5,1455,35,39,4,85,1006,1887,512,3,0
62,1429,34,33,7,87,1031,1911,491,3,0
62.5,1414,28,35,5,88,1029,1904,497,3,0
63,1451,26,41,3,73,1022,1890,514,3,0
63.5,1439,25,46,4,73,1000,1892,511,3,0
64,1449,26,49,3,68,1002,1876,532,3,0
64.5,1459,30,52,2,80,998,1875,530,2,1
65,1456,28,45,2,88,990,1878,523,2,1
65.5,1453,31,48,3,82,1021,1905,497,3,0
66,1449,22,39,2,78,1026,1904,491,3,0
66.5,1456,28,40,0,88,964,1862,529,3,0
67,1496,33,36,1,90,972,1871,525,3,0
67.5,1501,26,34,3,92,963,1864,534,3,0
68,1480,28,35,3,91,996,1899,496,3,0
68.5,1456,34,44,2,80,993,1884,508,3,0
69,1448,34,38,1,89,974,1869,521,3,0
69.5,1479,28,43,0,81,988,1872,512,2,1
70,1460,30,54,0,76,1015,1905,484,2,1
70.5,1477,26,49,2,73,990,1884,505,2,1
71,1486,44,48,3,71,975,1891,496,2,0
71.5,1495,25,45,0,83,985,1885,502,2,0
72,1497,36,41,1,85,998,1886,500,2,0
72.5,1485,28,48,1,73,1003,1874,514,2,0
73,1505,25,44,4,73,977,1855,537,2,0
73.5,1488,41,49,3,69,992,1889,503,2,0
74,1514,27,49,2,71,983,1872,520,2,0
74.5,1484,34,48,6,67,978,1867,524,2,0
75,1508,33,49,5,74,1015,1888,502,2,0
75.6,1474,27,50,4,71,995,1886,507,1,1
76.1,1482,43,41,2,83,992,1893,495,2,0
76.6,1475,31,45,1,83,1021,1875,512,2,0
77.1,1498,36,45,2,79,1003,1877,520,2,0
77.6,1484,30,46,1,87,983,1867,526,2,0
78.1,1490,30,49,2,83,1000,1880,520,2,0
78.6,1508,29,41,5,78,998,1905,491,2,0
79.1,1487,33,46,3,77,967,1862,534,2,1
79.6,1486,36,42,1,85,984,1875,527,3,0
80.1,1495,34,50,3,86,970,1871,523,3,0
80.6,1497,35,53,2,67,993,1889,513,3,0
81.1,1509,37,46,2,77,993,1891,510,3,0
81.6,1516,36,51,0,85,1028,1915,483,3,0
82.1,1509,38,48,1,88,1006,1884,504,3,0
82.6,1528,31,43,2,84,1012,1895,486,3,0
83.1,1524,30,41,1,89,1055,1919,472,3,0
83.6,1526,30,46,1,90,1017,1890,502,3,0
84.1,1507,35,45,2,91,1018,1899,496,2,1
84.6,1555,34,48,0,86,994,1882,510,2,0
85.1,1533,33,50,2,85,977,1876,522,2,0
85.6,1558,27,48,4,81,1000,1904,493,2,0
86.1,1560,34,46,1,86,976,1887,508,2,0
86.6,1525,33,49,2,87,992,1904,492,2,0
87.1,1523,39,55,1,83,995,1899,494,2,0
87.6,1525,38,51,4,89,1000,1894,504,1,1
88.1,1565,36,49,2,86,976,1869,524,1,1
88.6,1549,43,41,4,93,967,1860,520,2,1
89.1,1576,23,50,3,89,1012,1867,516,2,1
89.6,1583,39,51,3,77,1011,1893,492,3,0
90.1,1585,41,47,1,82,1002,1888,500,3,0
90.6,1576,35,45,2,83,1016,1911,476,3,0
91.1,1587,40,39,6,84,970,1883,507,3,0
