time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA,Pgran,pre-Pgran
50,1717,40,52,2,35,1077,1006,296,8,1
50.5,1721,43,48,2,43,1087,1014,285,7,2
51,1731,35,48,2,39,1081,989,309,8,1
51.5,1722,45,51,1,39,1074,997,300,7,1
52,1754,41,46,0,40,1075,989,309,8,0
52.5,1730,43,49,2,35,1090,1007,286,7,1
53,1715,39,54,0,30,1095,1004,288,8,0
53.5,1697,51,52,0,32,1050,993,308,9,0
54,1690,50,47,1,33,1055,996,297,6,2
54.5,1696,39,50,3,37,1109,1032,262,6,1
55,1734,45,48,3,39,1083,1021,277,6,2
55.5,1769,62,42,3,38,1048,998,301,5,3
56,1746,45,46,2,39,1067,999,304,7,1
56.5,1756,36,46,2,41,1118,1031,270,6,2
57,1715,35,49,1,42,1079,1008,291,5,1
57.5,1738,46,45,2,47,1075,1012,288,5,1
58,1763,33,50,2,42,1073,1004,293,5,3
58.5,1760,40,51,2,38,1067,1001,303,6,1
59,1754,39,55,2,35,1084,1005,297,5,0
59.5,1768,53,51,2,42,1052,1016,286,4,1
60,1769,33,47,2,42,1057,997,309,4,2
60.5,1762,43,50,1,38,1062,1011,293,5,1
61,1755,30,50,3,37,1047,1005,301,6,0
61.5,1778,48,46,4,39,1031,1002,305,6,1
62,1777,38,40,2,45,1032,1008,305,4,3
62.5,1791,36,37,4,44,1046,1027,282,5,2
63,1756,36,44,6,42,1019,989,320,5,2
63.5,1768,43,42,5,46,1047,1018,293,7,0
64,1812,23,42,2,52,1057,1005,305,6,1
64.5,1743,43,52,0,47,1060,1023,294,6,1
65,1754,49,60,2,45,1035,1015,307,7,0
65.5,1771,36,61,0,49,1042,1027,295,7,0
66,1741,52,53,0,44,1020,1026,300,7,0
66.5,1795,31,63,1,39,1013,1032,293,5,2
67,1806,35,60,3,35,1012,1016,306,5,2
67.5,1833,33,45,5,39,1013,1014,313,5,2
68,1821,37,55,2,31,1028,1027,298,5,2
68.5,1814,48,57,4,29,1043,1044,287,5,2
69,1827,23,56,2,33,1047,1021,307,4,3
69.5,1827,44,49,3,41,1019,1044,290,4,3
70,1829,42,47,2,35,1049,1045,292,3,4
70.5,1852,44,50,3,36,1060,1049,288,4,2
71,1868,39,61,1,39,1058,1046,290,5,1
71.5,1841,45,61,4,39,1082,1065,276,5,1
72,1869,33,58,3,37,1093,1055,279,6,0
72.5,1813,35,57,2,39,1050,1004,326,5,1
73,1795,30,52,3,33,1066,1024,311,5,1
73.5,1778,41,52,5,33,1033,1025,306,5,2
74,1789,32,60,3,35,1052,1032,293,5,2
74.5,1800,43,58,4,37,1026,1023,304,5,1
75,1810,28,51,6,40,1040,1025,301,5,1
75.6,1797,43,54,6,32,1054,1041,285,6,0
76.1,1772,38,51,8,32,1059,1025,303,4,3
76.6,1806,43,57,4,36,1073,1038,288,6,2
77.1,1800,32,59,2,35,1112,1068,257,6,1
77.6,1795,35,56,2,41,1040,1035,288,6,1
78.1,1806,32,49,3,40,1041,1044,286,6,1
78.6,1788,54,48,1,48,1030,1034,296,5,1
79.1,1802,32,53,3,43,1029,1031,296,4,3
79.6,1811,45,46,3,37,1034,1055,275,5,2
80.1,1800,41,48,1,32,1026,1049,286,6,1
80.6,1794,37,54,0,37,1052,1063,269,5,2
81.1,1783,54,53,1,39,1014,1049,288,6,1
81.6,1785,42,51,1,34,1022,1059,279,5,3
