time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
2500,0,0,45,21,82,867,1109,622
2505,0,0,52,16,74,891,1093,637
2510,0,0,42,26,93,877,1114,622
2515,0,0,54,27,77,861,1078,658
2520,0,0,67,16,68,931,1140,593
2525,0,0,44,15,73,811,1081,640
2530,0,0,40,23,69,885,1121,603
2535,0,0,55,16,71,852,1095,636
2540,0,0,38,20,75,890,1110,634
2545,0,0,44,16,79,887,1112,629
2550,0,0,51,27,77,878,1121,609
2555,0,0,51,9,84,851,1098,620
2560,0,0,40,17,81,857,1113,604
2565,0,0,42,18,86,846,1064,649
2570,0,0,42,15,84,912,1131,580
2575,0,0,40,23,82,817,1041,667
2580,0,0,48,12,89,972,1144,574
2585,0,0,44,19,99,842,1031,672
2590,0,0,43,18,101,942,1115,597
2595,0,0,41,21,98,844,1015,671
2600,0,0,53,20,83,963,1120,578
2605,0,0,53,16,76,876,1066,644
2610,0,0,41,25,85,910,1080,627
2615,0,0,41,22,86,885,1040,652
2620,0,0,60,20,71,919,1105,582
2625,0,0,51,22,79,874,1076,634
2630,0,0,50,22,61,912,1136,569
2635,0,0,43,19,77,840,1033,677
2640,0,0,41,19,83,934,1109,593
2645,0,0,40,19,79,853,1043,656
2650,0,0,42,17,79,935,1101,598
2655,0,0,53,19,83,866,1030,671
2660,0,0,58,16,74,956,1107,580
2665,0,0,51,16,86,849,1030,649
2670,0,0,43,30,76,909,1101,583
2675,0,0,54,18,67,869,1052,625
2680,0,0,51,19,75,898,1071,624
2685,0,0,48,31,78,889,1045,654
2690,0,0,59,17,75,921,1069,629
2695,0,0,40,24,86,892,1084,614
2700,0,0,62,14,87,882,1073,616
2705,0,0,54,16,77,871,1048,635
2710,0,0,43,18,87,887,1071,615
2715,0,0,48,26,73,886,1075,612
2720,0,0,55,24,78,883,1046,640
2725,0,0,58,24,75,878,1105,574
2730,0,0,56,27,75,868,1069,616
2735,0,0,51,22,63,863,1097,587
2740,0,0,56,24,74,849,1097,595
2745,0,0,56,21,77,835,1074,613
2750,0,0,48,19,81,840,1103,582
2755,0,0,43,20,73,831,1077,607
2760,0,0,48,17,76,839,1097,582
2765,0,0,49,14,79,830,1066,616
2770,0,0,53,20,90,851,1097,587
2775,0,0,58,19,72,841,1075,613
2780,0,0,53,13,78,866,1075,620
2785,0,0,42,12,64,873,1099,586
2790,0,0,43,12,73,868,1068,631
