time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
2500,0,0,66,29,65,897,1304,645
2505,0,0,64,35,63,851,1285,675
2510,0,0,66,27,72,883,1287,675
2515,0,0,74,34,68,853,1300,661
2520,0,0,66,38,70,841,1317,653
2525,0,0,77,38,71,836,1314,652
2530,0,0,81,29,81,843,1300,654
2535,0,0,64,43,76,869,1304,649
2540,0,0,70,25,82,848,1293,654
2545,0,0,70,31,78,866,1299,641
2550,0,0,62,38,78,848,1282,657
2555,0,0,67,30,69,865,1286,645
2560,0,0,58,44,72,854,1259,673
2565,0,0,74,29,63,905,1259,663
2570,0,0,59,32,70,869,1232,686
2575,0,0,68,27,63,908,1250,662
2580,0,0,62,32,65,905,1265,660
2585,0,0,60,23,77,882,1278,656
2590,0,0,50,42,74,828,1289,649
2595,0,0,73,30,88,868,1315,641
2600,0,0,70,31,77,847,1299,659
2605,0,0,69,20,79,856,1304,655
2610,0,0,48,32,75,847,1298,668
2615,0,0,69,27,83,866,1318,654
2620,0,0,80,25,71,835,1294,666
2625,0,0,63,38,78,848,1327,628
2630,0,0,76,27,74,831,1271,680
2635,0,0,72,24,68,864,1324,628
2640,0,0,69,27,64,839,1300,662
2645,0,0,71,24,61,890,1343,629
2650,0,0,59,29,63,833,1300,666
2655,0,0,58,32,67,853,1324,642
2660,0,0,62,26,64,836,1293,678
2665,0,0,62,26,65,868,1344,619
2670,0,0,56,30,66,819,1305,658
2675,0,0,60,39,69,833,1300,657
2680,0,0,84,30,75,852,1315,639
2685,0,0,62,47,79,847,1333,627
2690,0,0,74,26,73,851,1282,680
2695,0,0,62,31,78,876,1316,641
2700,0,0,61,37,70,835,1267,686
2705,0,0,65,20,69,906,1313,646
2710,0,0,61,27,74,858,1293,674
2715,0,0,60,37,63,857,1293,677
2720,0,0,65,26,86,881,1308,653
2725,0,0,62,27,90,865,1279,678
2730,0,0,63,34,86,890,1290,657
2735,0,0,61,28,89,841,1253,681
2740,0,0,61,29,79,880,1272,651
2745,0,0,62,38,77,862,1238,678
2750,0,0,76,26,62,884,1263,649
2755,0,0,70,32,73,872,1231,682
2760,0,0,60,35,77,890,1256,662
2765,0,0,73,37,65,880,1247,678
2770,0,0,73,29,59,899,1264,663
2775,0,0,66,41,74,874,1271,640
2780,0,0,72,24,72,868,1267,656
2785,0,0,57,38,79,860,1254,674
2790,0,0,70,35,65,895,1278,652
2795,0,0,65,31,57,874,1236,687
2800,0,0,62,25,69,925,1312,617
2805,0,0,65,33,64,814,1230,691
2810,0,0,68,28,76,897,1284,644
2815,0,0,60,32,70,876,1264,675
2820,0,0,63,33,79,887,1281,654
2825,0,0,62,35,73,885,1299,649
2830,0,0,71,31,72,882,1302,665
2835,0,0,65,22,75,867,1289,688
2840,0,0,66,28,69,877,1320,655
2845,0,0,50,25,64,866,1293,696
2850,0,0,57,26,52,891,1335,656
2855,0,0,65,29,63,850,1341,655
2860,0,0,73,23,55,860,1295,704
2865,0,0,60,42,53,896,1324,673
2870,0,0,75,29,62,876,1305,689
2875,0,0,72,40,74,912,1360,649
2880,0,0,67,32,63,868,1322,685
2885,0,0,73,31,46,908,1378,641
2890,0,0,79,32,64,827,1304,732
2895,0,0,64,32,73,915,1385,642
